headword,pronunciation,Pron
empergeñar,e m p e ɾ x e ˈ ɲ a ɾ,e m p e ɾ x e ɲ A ɾ
empericado,e m p e ɾ i ˈ k a ð o,e m p e ɾ i k A ð o
empericando,ˈ a n̪ d o,A n̪ d o
empericar,e m p e ɾ i ˈ k a ɾ,e m p e ɾ i k A ɾ
emperifollando,ˈ a n̪ d o,A n̪ d o
emperifollar,e m p e ɾ i f o ˈ ʝ a ɾ,e m p e ɾ i f o ʝ A ɾ
emperifollar,e m p e ɾ i f o ˈ ʎ a ɾ,e m p e ɾ i f o ʎ A ɾ
emperifollarse,e m p e ɾ i f o ˈ ʝ a ɾ s e,e m p e ɾ i f o ʝ A ɾ s e
emperifollarse,e m p e ɾ i f o ˈ ʎ a ɾ s e,e m p e ɾ i f o ʎ A ɾ s e
emperlado,e m p e ɾ ˈ l a ð o,e m p e ɾ l A ð o
emperlando,ˈ a n̪ d o,A n̪ d o
emperlar,e m p e ɾ ˈ l a ɾ,e m p e ɾ l A ɾ
empernado,e m p e ɾ ˈ n a ð o,e m p e ɾ n A ð o
empernando,ˈ a n̪ d o,A n̪ d o
empernar,e m p e ɾ ˈ n a ɾ,e m p e ɾ n A ɾ
empero,e m ˈ p e ɾ o,e m p E ɾ o
empezando,ˈ a n̪ d o,A n̪ d o
empilchando,ˈ a n̪ d o,A n̪ d o
empilchar,e m p i l ˈ t ʃ a ɾ,e m p i l t ʃ A ɾ
empiluchando,ˈ a n̪ d o,A n̪ d o
empiluchar,e m p i l u ˈ t ʃ a ɾ,e m p i l u t ʃ A ɾ
empilucharse,e m p i l u ˈ t ʃ a ɾ s e,e m p i l u t ʃ A ɾ s e
empizarrando,ˈ a n̪ d o,A n̪ d o
emplastecer,e m p l a s t e ˈ θ e ɾ,e m p l a s t e θ E ɾ
emplastecer,e m p l a s t e ˈ s e ɾ,e m p l a s t e s E ɾ
emplasto,e m ˈ p l a s t o,e m p l A s t o
emplatando,ˈ a n̪ d o,A n̪ d o
emplatar,e m p l a ˈ t a ɾ,e m p l a t A ɾ
emplayando,ˈ a n̪ d o,A n̪ d o
emplayar,e m p l a ˈ ʝ a ɾ,e m p l a ʝ A ɾ
empleador,e m p l e a ˈ ð o ɾ,e m p l e a ð O ɾ
empleando,ˈ a n̪ d o,A n̪ d o
emplear,e m p l e ˈ a ɾ,e m p l e A ɾ
emplearse,e m p l e ˈ a ɾ s e,e m p l e A ɾ s e
emplebeyecer,e m p l e β e ʝ e ˈ s e ɾ,e m p l e β e ʝ e s E ɾ
emplebeyecer,e m p l e β e ʝ e ˈ θ e ɾ,e m p l e β e ʝ e θ E ɾ
emplegando,ˈ a n̪ d o,A n̪ d o
emplegar,e m p l e ˈ ɰ a ɾ,e m p l e ɰ A ɾ
empleita,e m ˈ p l e j t a,e m p l E j t a
empleitero,e m p l e j ˈ t e ɾ o,e m p l e j t E ɾ o
emplentando,ˈ a n̪ d o,A n̪ d o
emplentar,e m p l e n ˈ t a ɾ,e m p l e n t A ɾ
emplente,e m ˈ p l e n t e,e m p l E n t e
empleo,e m ˈ p l e o,e m p l E o
emplumecer,e m p l u m e ˈ s e ɾ,e m p l u m e s E ɾ
emplumecer,e m p l u m e ˈ θ e ɾ,e m p l u m e θ E ɾ
emplástico,e m ˈ p l a s t i k o,e m p l A s t i k o
empobrecer,e m p o β ɾ e ˈ s e ɾ,e m p o β ɾ e s E ɾ
empobrecer,e m p o β ɾ e ˈ θ e ɾ,e m p o β ɾ e θ E ɾ
empobrecerse,e m p o β ɾ e ˈ s e ɾ s e,e m p o β ɾ e s E ɾ s e
empobrecerse,e m p o β ɾ e ˈ θ e ɾ s e,e m p o β ɾ e θ E ɾ s e
empodrecer,e m p o ð ɾ e ˈ θ e ɾ,e m p o ð ɾ e θ E ɾ
empodrecer,e m p o ð ɾ e ˈ s e ɾ,e m p o ð ɾ e s E ɾ
empollando,ˈ a n̪ d o,A n̪ d o
emporio,e m ˈ p o ɾ j o,e m p O ɾ j o
empotrando,ˈ a n̪ d o,A n̪ d o
empotría,e m p o ˈ t ɾ i a,e m p o t ɾ I a
empotrías,e m p o ˈ t ɾ i a s,e m p o t ɾ I a s
empradizar,e m p r a d i ˈ s a r,e m p r a d i s A r
emprensando,e m p ɾ e n ˈ s a n̪ d o,e m p ɾ e n s A n̪ d o
emprensar,e m p ɾ e n ˈ s a r,e m p ɾ e n s A r
empresa,e m ˈ p ɾ e s a,e m p ɾ E s a
emprestando,ˈ a n̪ d o,A n̪ d o
emprestar,e m p ɾ e s ˈ t a ɾ,e m p ɾ e s t A ɾ
empretecer,e m p ɾ e t e ˈ s e ɾ,e m p ɾ e t e s E ɾ
empretecer,e m p ɾ e t e ˈ θ e ɾ,e m p ɾ e t e θ E ɾ
emprimaste,e m p ɾ i ˈ m a s t e,e m p ɾ i m A s t e
empréstito,e m ˈ p r e s t i t o,e m p r E s t i t o
empréstitos,e m ˈ p r e s t i t o s,e m p r E s t i t o s
empujando,ˈ a n̪ d o,A n̪ d o
empujar,e m p u ˈ x a r,e m p u x A r
empuntada,e m p u n̪ ˈ t a ð a,e m p u n̪ t A ð a
empuntadas,e m p u n̪ ˈ t a ð a s,e m p u n̪ t A ð a s
empuntados,e m p u n̪ ˈ t a ð o s,e m p u n̪ t A ð o s
emputar,e m p u ˈ t a ɾ,e m p u t A ɾ
emputarse,e m p u ˈ t a ɾ s e,e m p u t A ɾ s e
emputecer,e m p u t e ˈ s e ɾ,e m p u t e s E ɾ
emputecer,e m p u t e ˈ θ e ɾ,e m p u t e θ E ɾ
emputecerse,e m p u t e ˈ θ e ɾ s e,e m p u t e θ E ɾ s e
emputecerse,e m p u t e ˈ s e ɾ s e,e m p u t e s E ɾ s e
emputeciéndose,e m p u t e ˈ s j e n̪ d o s e,e m p u t e s j E n̪ d o s e
emputeciéndose,e m p u t e ˈ θ j e n̪ d o s e,e m p u t e θ j E n̪ d o s e
emputándose,e m p u ˈ t a n̪ d o s e,e m p u t A n̪ d o s e
empuñadura,e m p u ɲ a ˈ ð u ɾ a,e m p u ɲ a ð U ɾ a
empuñando,ˈ a n̪ d o,A n̪ d o
empírico,e m ˈ p i ɾ i k o,e m p I ɾ i k o
emulsionar,e m u l s j o ˈ n a ɾ,e m u l s j o n A ɾ
emulsión,e m u l ˈ s j o n,e m u l s j O n
emético,e ˈ m e t i k o,e m E t i k o
en,e n,e n
en-,e n,e n
enajenación,e n a x e n a ˈ s j o n,e n a x e n a s j O n
enajenación,e n a x e n a ˈ θ j o n,e n a x e n a θ j O n
enajenando,ˈ a n̪ d o,A n̪ d o
enajenar,e n a x e ˈ n a ɾ,e n a x e n A ɾ
enalbardando,ˈ a n̪ d o,A n̪ d o
enalmagrada,e n a l m a ˈ ɣ ɾ a ð a,e n a l m a ɣ ɾ A ð a
enalmagradas,e n a l m a ˈ ɣ ɾ a ð a s,e n a l m a ɣ ɾ A ð a s
enalmagrados,e n a l m a ˈ ɣ ɾ a ð o s,e n a l m a ɣ ɾ A ð o s
enalmagrar,e n a l m a ˈ ɣ ɾ a ɾ,e n a l m a ɣ ɾ A ɾ
enaltecer,e n a l t e ˈ s e ɾ,e n a l t e s E ɾ
enaltecer,e n a l t e ˈ θ e ɾ,e n a l t e θ E ɾ
enamarillecer,e n a m a ɾ i ʎ e ˈ θ e ɾ,e n a m a ɾ i ʎ e θ E ɾ
enamarillecer,e n a m a ɾ i ʝ e ˈ s e ɾ,e n a m a ɾ i ʝ e s E ɾ
enamoradiza,e n a m o ɾ a ˈ ð i s a,e n a m o ɾ a ð I s a
enamoradiza,e n a m o ɾ a ˈ ð i θ a,e n a m o ɾ a ð I θ a
enamoradizas,e n a m o ɾ a ˈ ð i θ a s,e n a m o ɾ a ð I θ a s
enamoradizas,e n a m o ɾ a ˈ ð i s a s,e n a m o ɾ a ð I s a s
enamoradizo,e n a m o ɾ a ˈ ð i s o,e n a m o ɾ a ð I s o
enamoradizo,e n a m o ɾ a ˈ ð i θ o,e n a m o ɾ a ð I θ o
enamoradizos,e n a m o ɾ a ˈ ð i θ o s,e n a m o ɾ a ð I θ o s
enamoradizos,e n a m o ɾ a ˈ ð i s o s,e n a m o ɾ a ð I s o s
enamoramiento,e n a m o ɾ a ˈ m i e n t o,e n a m o ɾ a m I e n t o
enamorando,e n a m o ˈ ɾ a n d o,e n a m o ɾ A n d o
enamorar,e n a m o ˈ ɾ a ɾ,e n a m o ɾ A ɾ
enana,e ˈ n a n a,e n A n a
enanas,e ˈ n a n a s,e n A n a s
enanos,e ˈ n a n o s,e n A n o s
enarcando,ˈ a n̪ d o,A n̪ d o
enarcar,e n a ɾ ˈ k a ɾ,e n a ɾ k A ɾ
enardecer,e n a ɾ ð e ˈ θ e ɾ,e n a ɾ ð e θ E ɾ
enardeciendo,ˈ j e n̪ d o,j E n̪ d o
enarenando,ˈ a n̪ d o,A n̪ d o
enarmonando,ˈ a n̪ d o,A n̪ d o
enarrando,ˈ a n̪ d o,A n̪ d o
enartando,ˈ a n̪ d o,A n̪ d o
enastando,ˈ a n̪ d o,A n̪ d o
enastilando,ˈ a n̪ d o,A n̪ d o
encabalgando,ˈ a n̪ d o,A n̪ d o
encaban,e ŋ ˈ k a β a n,e ŋ k A β a n
encabezamiento,,
encabezonando,ˈ a n̪ d o,A n̪ d o
encabronar,e ŋ k a β ɾ o ˈ n a ɾ,e ŋ k a β ɾ o n A ɾ
encabruñarán,e ŋ k a β ɾ u ɲ a ˈ ɾ a n,e ŋ k a β ɾ u ɲ a ɾ A n
encachado,e ŋ k a ˈ t ʃ a ð o,e ŋ k a t ʃ A ð o
encadenando,ˈ a n̪ d o,A n̪ d o
encajando,ˈ a n̪ d o,A n̪ d o
encajar,e ŋ k a ˈ x a ɾ,e ŋ k a x A ɾ
encaje,e ŋ ˈ k a x e,e ŋ k A x e
encajonando,ˈ a n̪ d o,A n̪ d o
encalabozando,ˈ a n̪ d o,A n̪ d o
encalabrinando,ˈ a n̪ d o,A n̪ d o
encalabrinar,e ŋ k a l a b ɾ i ˈ n a ɾ,e ŋ k a l a b ɾ i n A ɾ
encalabrinarse,e ŋ k a l a b ɾ i ˈ n a ɾ s e,e ŋ k a l a b ɾ i n A ɾ s e
encalamocado,e ŋ k a l a m o ˈ k a ð o,e ŋ k a l a m o k A ð o
encaletaréis,e ŋ k a l e t a ˈ ɾ e j s,e ŋ k a l e t a ɾ E j s
encalillado,e ŋ k a l i ˈ ʎ a ð o,e ŋ k a l i ʎ A ð o
encalillado,e ŋ k a l i ˈ ʝ a ð o,e ŋ k a l i ʝ A ð o
encalillarse,e ŋ k a l i ˈ ʎ a ɾ s e,e ŋ k a l i ʎ A ɾ s e
encalillarse,e ŋ k a l i ˈ ʝ a ɾ s e,e ŋ k a l i ʝ A ɾ s e
encallando,ˈ a n̪ d o,A n̪ d o
encallecer,e ŋ k a ʎ e ˈ θ e ɾ,e ŋ k a ʎ e θ E ɾ
encallecer,e ŋ k a ʝ e ˈ s e ɾ,e ŋ k a ʝ e s E ɾ
encallecerse,e ŋ k a ʝ e ˈ s e ɾ s e,e ŋ k a ʝ e s E ɾ s e
encallecerse,e ŋ k a ʎ e ˈ θ e ɾ s e,e ŋ k a ʎ e θ E ɾ s e
encallejonemos,e ŋ k a ʎ e x o ˈ n e m o s,e ŋ k a ʎ e x o n E m o s
encallejonemos,e ŋ k a ʝ e x o ˈ n e m o s,e ŋ k a ʝ e x o n E m o s
encalvecer,e ŋ k a l β e ˈ s e ɾ,e ŋ k a l β e s E ɾ
encalvecer,e ŋ k a l β e ˈ θ e ɾ,e ŋ k a l β e θ E ɾ
encamisar,e ŋ k a m i ˈ s a ɾ,e ŋ k a m i s A ɾ
encanalando,ˈ a n̪ d o,A n̪ d o
encanalle,e ŋ k a ˈ n a ʎ e,e ŋ k a n A ʎ e
encanalle,e ŋ k a ˈ n a ʝ e,e ŋ k a n A ʝ e
encanando,ˈ a n̪ d o,A n̪ d o
encanar,e ŋ k a ˈ n a ɾ,e ŋ k a n A ɾ
encanarse,e ŋ k a ˈ n a ɾ s e,e ŋ k a n A ɾ s e
encandecer,e ŋ k a n̪ d e ˈ s e ɾ,e ŋ k a n̪ d e s E ɾ
encandecer,e ŋ k a n̪ d e ˈ θ e ɾ,e ŋ k a n̪ d e θ E ɾ
encanecer,e ŋ k a n e ˈ θ e ɾ,e ŋ k a n e θ E ɾ
encanecer,e ŋ k a n e ˈ s e ɾ,e ŋ k a n e s E ɾ
encaneciendo,ˈ j e n̪ d o,j E n̪ d o
encantación,e ŋ k a n t a ˈ s j o n,e ŋ k a n t a s j O n
encantación,e ŋ k a n t a ˈ θ j o n,e ŋ k a n t a θ j O n
encantadero,e ŋ k a n̪ t a ˈ ð e ɾ o,e ŋ k a n̪ t a ð E ɾ o
encantador,e ŋ k a n t a ˈ ð o ɾ,e ŋ k a n t a ð O ɾ
encantadoramente,e ŋ k a n̪ t a ˈ ð o ɾ a ˈ m e n̪ t e,e ŋ k a n̪ t a ð O ɾ a m E n̪ t e
encantamento,e ŋ k a n t a ˈ m e n t o,e ŋ k a n t a m E n t o
encantamiento,e ŋ k a n t a ˈ m j e n t o,e ŋ k a n t a m j E n t o
encantando,ˈ a n̪ d o,A n̪ d o
encantar,e n k a n ˈ t a ɾ,e n k a n t A ɾ
encantar,e ŋ k a n ˈ t a ɾ,e ŋ k a n t A ɾ
encantarse,e ŋ k a n ˈ t a ɾ s e,e ŋ k a n t A ɾ s e
encapirotando,ˈ a n̪ d o,A n̪ d o
encapiroto,e ŋ k a p i ˈ ɾ o t o,e ŋ k a p i ɾ O t o
encapríchense,e ŋ k a ˈ p ɾ i t ʃ e n s e,e ŋ k a p ɾ I t ʃ e n s e
encapucen,e ŋ k a ˈ p u s e n,e ŋ k a p U s e n
encapucen,e ŋ k a ˈ p u θ e n,e ŋ k a p U θ e n
encarajinando,ˈ a n̪ d o,A n̪ d o
encarcelaciones,e ŋ k a ɾ s e l a ˈ s j o n e s,e ŋ k a ɾ s e l a s j O n e s
encarcelaciones,e ŋ k a ɾ θ e l a ˈ θ j o n e s,e ŋ k a ɾ θ e l a θ j O n e s
encarcelación,e ŋ k a ɾ s e l a ˈ s j o n,e ŋ k a ɾ s e l a s j O n
encarcelación,e ŋ k a ɾ θ e l a ˈ θ j o n,e ŋ k a ɾ θ e l a θ j O n
encarcelamiento,e ŋ k a ɾ θ e l a ˈ m j e n̪ t o,e ŋ k a ɾ θ e l a m j E n̪ t o
encarcelamiento,e ŋ k a ɾ s e l a ˈ m j e n̪ t o,e ŋ k a ɾ s e l a m j E n̪ t o
encarcelamientos,e ŋ k a ɾ s e l a ˈ m j e n̪ t o s,e ŋ k a ɾ s e l a m j E n̪ t o s
encarcelamientos,e ŋ k a ɾ θ e l a ˈ m j e n̪ t o s,e ŋ k a ɾ θ e l a m j E n̪ t o s
encarcelando,ˈ a n̪ d o,A n̪ d o
encarcelar,e ŋ k a ɾ s e ˈ l a ɾ,e ŋ k a ɾ s e l A ɾ
encarcelar,e ŋ k a ɾ θ e ˈ l a ɾ,e ŋ k a ɾ θ e l A ɾ
encardia,e ŋ ˈ k a ɾ ð j a,e ŋ k A ɾ ð j a
encarecedor,e ŋ k a ɾ e θ e ˈ ð o ɾ,e ŋ k a ɾ e θ e ð O ɾ
encarecedor,e ŋ k a ɾ e s e ˈ ð o ɾ,e ŋ k a ɾ e s e ð O ɾ
encarecer,e ŋ k a ɾ e ˈ θ e ɾ,e ŋ k a ɾ e θ E ɾ
encarecer,e ŋ k a ɾ e ˈ s e ɾ,e ŋ k a ɾ e s E ɾ
encarecerse,e ŋ k a ɾ e ˈ θ e ɾ s e,e ŋ k a ɾ e θ E ɾ s e
encarecerse,e ŋ k a ɾ e ˈ s e ɾ s e,e ŋ k a ɾ e s E ɾ s e
encarecidamente,e ŋ k a ɾ e ˈ θ i ð a ˈ m e n t e,e ŋ k a ɾ e θ I ð a m E n t e
encarecidamente,e ŋ k a ɾ e ˈ s i ð a ˈ m e n t e,e ŋ k a ɾ e s I ð a m E n t e
encarecido,e ŋ k a ɾ e ˈ θ i ð o,e ŋ k a ɾ e θ I ð o
encarecido,e ŋ k a ɾ e ˈ s i ð o,e ŋ k a ɾ e s I ð o
encareciendo,ˈ j e n̪ d o,j E n̪ d o
encarecimiento,e ŋ k a ɾ e s i ˈ m j e n t o,e ŋ k a ɾ e s i m j E n t o
encarecimiento,e ŋ k a ɾ e θ i ˈ m j e n t o,e ŋ k a ɾ e θ i m j E n t o
encargadamente,e n k a ɾ ˈ ɰ a ð a ˈ m e n t e,e n k a ɾ ɰ A ð a m E n t e
encargamiento,e n k a ɾ ɰ a ˈ m j e n t o,e n k a ɾ ɰ a m j E n t o
encargando,ˈ a n̪ d o,A n̪ d o
encargar,e n k a ɾ ˈ ɰ a ɾ,e n k a ɾ ɰ A ɾ
encargarse,e n k a ɾ ˈ ɰ a ɾ s e,e n k a ɾ ɰ A ɾ s e
encarnecer,e ŋ k a ɾ n e ˈ s e ɾ,e ŋ k a ɾ n e s E ɾ
encarnecer,e ŋ k a ɾ n e ˈ θ e ɾ,e ŋ k a ɾ n e θ E ɾ
encarnen,e ŋ ˈ k a ɾ n e n,e ŋ k A ɾ n e n
encarroñar,e ŋ k a r o ˈ ɲ a ɾ,e ŋ k a r o ɲ A ɾ
encartucharemos,e ŋ k a ɾ t u t ʃ a ˈ ɾ e m o s,e ŋ k a ɾ t u t ʃ a ɾ E m o s
encascotando,ˈ a n̪ d o,A n̪ d o
encausábamos,e ŋ k a w ˈ s a β a m o s,e ŋ k a w s A β a m o s
encauzando,ˈ a n̪ d o,A n̪ d o
encebadando,ˈ a n̪ d o,A n̪ d o
encefalina,e n ˌ θ e f a ˈ l i n a,e n ˌ θ e f a l I n a
encefalograma,e n̟ θ e f a l o ˈ ɤ ɾ a m a,e n̟ θ e f a l o ɤ ɾ A m a
encefálico,e n θ e ˈ f a l i k o,e n θ e f A l i k o
encefálico,e n s e ˈ f a l i k o,e n s e f A l i k o
enceguecer,e n s e ɣ e ˈ s e ɾ,e n s e ɣ e s E ɾ
enceguecer,e n̪ θ e ɣ e ˈ θ e ɾ,e n̪ θ e ɣ e θ E ɾ
enceldando,ˈ a n̪ d o,A n̪ d o
encendedor,e n θ e n d e ˈ ð o ɾ,e n θ e n d e ð O ɾ
encendedor,e n s e n d e ˈ ð o ɾ,e n s e n d e ð O ɾ
encender,e n s e n ˈ ð e r,e n s e n ð E r
encendiendo,ˈ j e n̪ d o,j E n̪ d o
encepando,ˈ a n̪ d o,A n̪ d o
encepar,e n ˈ θ e p a ɾ,e n θ E p a ɾ
encerotásemos,e n̪ θ e ɾ o ˈ t a s e m o s,e n̪ θ e ɾ o t A s e m o s
encerotásemos,e n s e ɾ o ˈ t a s e m o s,e n s e ɾ o t A s e m o s
encerrando,ˈ a n̪ d o,A n̪ d o
encerrar,e n s e ˈ r a ɾ,e n s e r A ɾ
encerrar,e n θ e ˈ r a ɾ,e n θ e r A ɾ
encerraseis,e n s e ˈ r a s e j s,e n s e r A s e j s
encerraseis,e n̪ θ e ˈ r a s e j s,e n̪ θ e r A s e j s
encespedemos,e n̪ θ e s p e ˈ ð e m o s,e n̪ θ e s p e ð E m o s
encespedemos,e n s e s p e ˈ ð e m o s,e n s e s p e ð E m o s
enchapando,ˈ a n̪ d o,A n̪ d o
encharcado,e n t ʃ a ɾ ˈ k a ð o,e n t ʃ a ɾ k A ð o
encharcando,ˈ a n̪ d o,A n̪ d o
encharcar,e nʲ ʈ ʃ a ɾ ˈ k a ɾ,e nʲ ʈ ʃ a ɾ k A ɾ
encharralando,e n t ʃ a r a ˈ l a n̪ d o,e n t ʃ a r a l A n̪ d o
enchastando,ˈ a n̪ d o,A n̪ d o
enchicaría,e n t ʃ i k a ˈ ɾ i a,e n t ʃ i k a ɾ I a
enchilando,ˈ a n̪ d o,A n̪ d o
enchilar,e n ˈ t ʃ i l a ɾ,e n t ʃ I l a ɾ
enchironando,ˈ a n̪ d o,A n̪ d o
enchironar,e ɲ t ʃ i ɾ o ˈ n a ɾ,e ɲ t ʃ i ɾ o n A ɾ
enchuecando,ˈ a n̪ d o,A n̪ d o
enchuecar,e n t ʃ w e ˈ k a ɾ,e n t ʃ w e k A ɾ
enchuecarse,e n t ʃ w e ˈ k a ɾ s e,e n t ʃ w e k A ɾ s e
enchufando,ˈ a n̪ d o,A n̪ d o
enchufe,e n t ʃ u f e,e n t ʃ u f e
enchufla,e n ˈ t ∫ u f l a,e n t ∫ U f l a
enchulado,e n t ʃ u ˈ l a ð o,e n t ʃ u l A ð o
enchulando,e n̪ t ʃ u ˈ l a n̪ d o,e n̪ t ʃ u l A n̪ d o
enchular,e n t ʃ u ˈ l a ɾ,e n t ʃ u l A ɾ
enchularse,e n t ʃ u ˈ l a ɾ s e,e n t ʃ u l A ɾ s e
enciclopedia,e n θ i k l o ˈ p e ð j a,e n θ i k l o p E ð j a
enciclopedia,e n s i k l o ˈ p e ð j a,e n s i k l o p E ð j a
enciclopedista,e n θ i k l o p e ˈ ð i s t a,e n θ i k l o p e ð I s t a
enciclopedista,e n s i k l o p e ˈ ð i s t a,e n s i k l o p e ð I s t a
enciclopedistas,e n θ i k l o p e ˈ ð i s t a s,e n θ i k l o p e ð I s t a s
enciclopedistas,e n s i k l o p e ˈ ð i s t a s,e n s i k l o p e ð I s t a s
encierro,e n̩ ˈ θ j e r o,e n̩ θ j E r o
encima,e n ˈ s i m a,e n s I m a
encima,e n̟ ˈ θ i m a,e n̟ θ I m a
encina,e n ˈ s i n ä,e n s I n ä
encina,e n̟ ˈ θ i n ä,e n̟ θ I n ä
encinal,,
encinales,,
encinar,e n θ i ˈ n a ɾ,e n θ i n A ɾ
encinares,e n θ i ˈ n a ɾ e s,e n θ i n A ɾ e s
encinas,,
encino,,
encintas,e n̪ ˈ θ i n̪ t a s,e n̪ θ I n̪ t a s
encintas,e n ˈ s i n̪ t a s,e n s I n̪ t a s
encizañando,ˈ a n̪ d o,A n̪ d o
encizañar,e n s i s a ˈ ɲ a ɾ,e n s i s a ɲ A ɾ
encizañar,e n̪ θ i θ a ˈ ɲ a ɾ,e n̪ θ i θ a ɲ A ɾ
enclaustrando,ˈ a n̪ d o,A n̪ d o
enclaustrar,e n k l a u s ˈ t ɾ a ɾ,e n k l a u s t ɾ A ɾ
enclaustrarse,e n k l a u s ˈ t ɾ a ɾ s e,e n k l a u s t ɾ A ɾ s e
enclavijando,ˈ a n̪ d o,A n̪ d o
enclocar,e ŋ k l o ˈ k a ɾ,e ŋ k l o k A ɾ
enclochando,ˈ a n̪ d o,A n̪ d o
enclochar,e ŋ k l o ˈ t ʃ a ɾ,e ŋ k l o t ʃ A ɾ
encloquecer,e ŋ k l o k e ˈ θ e ɾ,e ŋ k l o k e θ E ɾ
encloquecer,e ŋ k l o k e ˈ s e ɾ,e ŋ k l o k e s E ɾ
encluecar,e ŋ k l w e ˈ k a ɾ,e ŋ k l w e k A ɾ
enclítica,e ŋ ˈ k l i t i k a,e ŋ k l I t i k a
enclíticas,e ŋ ˈ k l i t i k a s,e ŋ k l I t i k a s
enclítico,e ŋ ˈ k l i t i k o,e ŋ k l I t i k o
enclíticos,e ŋ ˈ k l i t i k o s,e ŋ k l I t i k o s
encobar,e ŋ k o ˈ β a ɾ,e ŋ k o β A ɾ
encobilaba,e ŋ k o β i ˈ l a β a,e ŋ k o β i l A β a
encocorasteis,e ŋ k o k o ˈ ɾ a s t e j s,e ŋ k o k o ɾ A s t e j s
encoger,e ŋ k o ˈ x e ɾ,e ŋ k o x E ɾ
encogerse,e ŋ k o ˈ x e ɾ s e,e ŋ k o x E ɾ s e
encoges,e ŋ ˈ k o x e s,e ŋ k O x e s
encogidamente,e ŋ k o ˈ x i ð a ˈ m e n̪ t e,e ŋ k o x I ð a m E n̪ t e
encogiendo,ˈ j e n̪ d o,j E n̪ d o
encogimiento,e ŋ k o x i ˈ m j e n̪ t o,e ŋ k o x i m j E n̪ t o
encogiéndose,e ŋ k o ˈ x j e n̪ d o s e,e ŋ k o x j E n̪ d o s e
encojonábamos,e ŋ k o x o ˈ n a β a m o s,e ŋ k o x o n A β a m o s
encolerizando,ˈ a n̪ d o,A n̪ d o
encolerizar,e ŋ k o l e r i ˈ θ a r,e ŋ k o l e r i θ A r
encolerizar,e ŋ k o l e ɾ i ˈ s a ɾ,e ŋ k o l e ɾ i s A ɾ
encolerizarse,e ŋ k o l e ɾ i ˈ s a ɾ s e,e ŋ k o l e ɾ i s A ɾ s e
encolerizarse,e ŋ k o l e r i ˈ θ a r s e,e ŋ k o l e r i θ A r s e
encomendar,ˌ e ŋ k o m e n ˈ d a ɾ,ˌ e ŋ k o m e n d A ɾ
encomiable,e ŋ k o ˈ m j a β l e,e ŋ k o m j A β l e
encontrado,e ŋ k o n ˈ t ɾ a ð o,e ŋ k o n t ɾ A ð o
encontrando,e ŋ k o n ˈ t ɾ a n d o,e ŋ k o n t ɾ A n d o
encontrar,e n k o n ˈ t ɾ a ɾ,e n k o n t ɾ A ɾ
encontrarse,e n k o n ˈ t ɾ a ɾ s e,e n k o n t ɾ A ɾ s e
encorajinando,ˈ a n̪ d o,A n̪ d o
encorajinar,e ŋ k o ɾ a x i ˈ n a ɾ,e ŋ k o ɾ a x i n A ɾ
encorajinarse,e ŋ k o ɾ a x i ˈ n a ɾ s e,e ŋ k o ɾ a x i n A ɾ s e
encorbatado,e ŋ k o ɾ β a ˈ t a ð o,e ŋ k o ɾ β a t A ð o
encorecer,e ŋ k o ɾ e ˈ s e ɾ,e ŋ k o ɾ e s E ɾ
encorecer,e ŋ k o ɾ e ˈ θ e ɾ,e ŋ k o ɾ e θ E ɾ
encorralando,ˈ a n̪ d o,A n̪ d o
encorralar,e ŋ k o r a ˈ l a ɾ,e ŋ k o r a l A ɾ
encortinaseis,e ŋ k o ɾ t i ˈ n a s e j s,e ŋ k o ɾ t i n A s e j s
encorvadísima,e ŋ k o ɾ β a ˈ ð i s i m a,e ŋ k o ɾ β a ð I s i m a
encorvadísimas,e ŋ k o ɾ β a ˈ ð i s i m a s,e ŋ k o ɾ β a ð I s i m a s
encorvadísimo,e ŋ k o ɾ β a ˈ ð i s i m o,e ŋ k o ɾ β a ð I s i m o
encorvadísimos,e ŋ k o ɾ β a ˈ ð i s i m o s,e ŋ k o ɾ β a ð I s i m o s
encorvando,ˈ a n̪ d o,A n̪ d o
encostrando,ˈ a n̪ d o,A n̪ d o
encovado,e n k o ˈ β a d o,e n k o β A d o
encovando,ˈ a n̪ d o,A n̪ d o
encrasando,ˈ a n̪ d o,A n̪ d o
encrasar,e ŋ k ɾ a ˈ s a ɾ,e ŋ k ɾ a s A ɾ
encratita,e n k ɾ a ˈ t i t a,e n k ɾ a t I t a
encrespando,ˈ a n̪ d o,A n̪ d o
encrestarse,e ŋ k ɾ e s ˈ t a ɾ s e,e ŋ k ɾ e s t A ɾ s e
encristalando,ˈ a n̪ d o,A n̪ d o
encrucijada,e n k ɾ u θ i ˈ x a ð a,e n k ɾ u θ i x A ð a
encrudecer,e ŋ k ɾ u ð e ˈ s e ɾ,e ŋ k ɾ u ð e s E ɾ
encrudecer,e ŋ k ɾ u ð e ˈ θ e ɾ,e ŋ k ɾ u ð e θ E ɾ
encrudecerse,e ŋ k ɾ u ð e ˈ s e ɾ s e,e ŋ k ɾ u ð e s E ɾ s e
encrudecerse,e ŋ k ɾ u ð e ˈ θ e ɾ s e,e ŋ k ɾ u ð e θ E ɾ s e
encrudelecer,e ŋ k ɾ u ð e l e ˈ s e ɾ,e ŋ k ɾ u ð e l e s E ɾ
encrudelecer,e ŋ k ɾ u ð e l e ˈ θ e ɾ,e ŋ k ɾ u ð e l e θ E ɾ
